Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
290,60003,84454.754,0.01,-5.1158,3,10.3756,30,7,2,6,0,,,6,2,5,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"7,2,6,0-6,2,5,0",true,,0.0,0.0,1,0.0019099360178416757,,0.28281462,-10.0,5.8,-10.0,0.0063427582814524,,0.0,0.0,0.0,,0.0,-10.0,29.129,11.944065,-10.0,7.7,-10.0,0.0,0.001361148394617629,0.0,true
291,60003,84504.8444,0.4457,-7.2328,3,831.9613,222,55,12,43,5,,,55,12,44,4,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"55,12,43,5-55,12,44,4",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.111,11.944065,-10.0,7.7,-10.0,0.0,1.144116746720835E-70,0.0,false
292,60003,84551.3895,0.0185,-7.4262,3,493.2292,130,32,18,14,5,,,33,17,16,5,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"32,18,14,5-33,17,16,5",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.095,11.944065,-10.0,7.7,-10.0,0.0,4.429958205082352E-44,0.0,false
293,60003,84553.9075,0.0013,-7.5546,3,45.1538,38,9,8,2,1,,,10,7,4,1,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"9,8,2,1-10,7,4,1",true,,0.0,0.0,1,1.235949107196477E-8,,0.28281462,-10.0,5.8,-10.0,4.10550443601226E-8,,0.0,0.0,0.0,,0.0,-10.0,29.094,11.944065,-10.0,7.7,-10.0,0.0,8.805661980974787E-9,0.0,false
294,60003,84562.414,0.01,-6.2717,3,166.8337,50,12,4,8,5,,,12,3,9,5,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"12,4,8,5-12,3,9,5",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.092,11.944065,-10.0,7.7,-10.0,0.0,4.046403087177311E-17,0.0,false
295,60003,84597.4855,0.0017,-7.5544,3,45.1665,38,9,8,1,2,,,10,7,3,2,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"9,8,1,2-10,7,3,2",true,,0.0,0.0,1,1.2327992557314975E-8,,0.28281462,-10.0,5.8,-10.0,4.0950414972597296E-8,,0.0,0.0,0.0,,0.0,-10.0,29.079,11.944065,-10.0,7.7,-10.0,0.0,8.783787311948989E-9,0.0,false
296,60003,84625.277,0.03,-7.5542,3,45.1549,38,9,8,2,0,,,10,7,3,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"9,8,2,0-10,7,3,0",true,,0.0,0.0,1,1.2354228419609024E-8,,0.28281462,-10.0,5.8,-10.0,4.103756327892767E-8,,0.0,0.0,0.0,,0.0,-10.0,29.07,11.944065,-10.0,7.7,-10.0,0.0,8.802842874791091E-9,0.0,false
297,60003,84625.277,0.03,-7.5542,3,45.1548,38,9,8,1,0,,,10,7,4,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"9,8,1,0-10,7,4,0",true,,0.0,0.0,1,1.2354453355536092E-8,,0.28281462,-10.0,5.8,-10.0,4.10383106495846E-8,,0.0,0.0,0.0,,0.0,-10.0,29.07,11.944065,-10.0,7.7,-10.0,0.0,8.80300313405754E-9,0.0,false
298,60003,84625.414,0.03,-7.3452,3,239.1187,66,16,11,6,3,,,17,10,7,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"16,11,6,3-17,10,7,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.07,11.944065,-10.0,7.7,-10.0,0.0,6.576661199943702E-24,0.0,false
299,60003,84625.414,0.03,-7.3452,3,239.1187,66,16,11,5,3,,,17,10,8,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"16,11,5,3-17,10,8,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.07,11.944065,-10.0,7.7,-10.0,0.0,6.576661199943702E-24,0.0,false
300,60003,84628.2168,2.8882,-7.8658,3,896.6754,214,53,20,33,3,,,52,21,32,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"53,20,33,3-52,21,32,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.069,11.944065,-10.0,7.7,-10.0,0.0,2.032881822969247E-76,0.0,false
301,60003,84743.792,0.01,-6.4607,3,325.821,118,29,6,23,3,,,29,6,24,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"29,6,23,3-29,6,24,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.029,11.944065,-10.0,7.7,-10.0,0.0,7.025829637269442E-30,0.0,false
302,60003,84761.67,0.01,-6.4217,3,395.1763,166,41,9,32,2,,,41,9,33,1,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"41,9,32,2-41,9,33,1",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.023,11.944065,-10.0,7.7,-10.0,0.0,2.523798501009927E-35,0.0,false
303,60003,84774.2743,0.0516,-7.7359,3,703.0662,166,41,22,19,3,,,42,21,22,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"41,22,19,3-42,21,22,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.019,11.944065,-10.0,7.7,-10.0,0.0,5.5547989830234354E-61,0.0,false
304,60003,84776.1745,0.0515,-7.7359,3,703.0662,166,41,22,20,3,,,42,21,21,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"41,22,20,3-42,21,21,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.018,11.944065,-10.0,7.7,-10.0,0.0,5.5546453091485176E-61,0.0,false
305,60003,84817.404,0.01,-6.5088,3,384.1316,134,33,7,26,5,,,33,7,27,4,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"33,7,26,5-33,7,27,4",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,29.004,11.944065,-10.0,7.7,-10.0,0.0,1.5411469617162606E-34,0.0,false
306,60003,84851.282,0.01,-6.4208,3,395.1837,166,41,9,32,0,,,41,9,33,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"41,9,32,0-41,9,33,0",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,28.992,11.944065,-10.0,7.7,-10.0,0.0,2.5223372814838476E-35,0.0,false
307,60003,84969.004,0.03,-7.3823,3,131.6197,14,3,2,1,5,,,2,1,2,4,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"3,2,1,5-2,1,2,4",true,,0.0,0.0,1,2.770119572696704E-15,,0.28281462,-10.0,5.8,-10.0,8.79419776313537E-15,,0.0,0.0,0.0,,0.0,-10.0,28.952,11.944065,-10.0,7.7,-10.0,0.0,1.897007810506337E-15,0.0,false
308,60003,84973.439,0.01,-6.7614,3,217.0743,78,19,5,15,3,,,18,6,12,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"19,5,15,3-18,6,12,3",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,28.951,11.944065,-10.0,7.7,-10.0,0.0,1.388452410761737E-21,0.0,false
309,60003,85088.069,0.03,-7.1094,3,308.6799,118,29,17,13,1,,,30,16,15,1,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"29,17,13,1-30,16,15,1",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,28.912,11.944065,-10.0,7.7,-10.0,0.0,3.5569127719417217E-29,0.0,false
310,60003,85098.59,0.03,-7.1093,3,308.6805,118,29,17,12,2,,,30,16,14,2,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"29,17,12,2-30,16,14,2",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,28.908,11.944065,-10.0,7.7,-10.0,0.0,3.5568001052250663E-29,0.0,false
311,60003,85120.437,0.01,-5.9503,3,155.7864,30,7,6,2,3,,,6,6,1,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"7,6,2,3-6,6,1,3",true,,0.0,0.0,1,6.614597743619153E-16,,0.28281462,-10.0,5.8,-10.0,3.1031351781516183E-15,,0.0,0.0,0.0,,0.0,-10.0,28.901,11.944065,-10.0,7.7,-10.0,0.0,6.286231048436251E-16,0.0,false
312,60003,85120.437,0.01,-5.9503,3,155.7864,30,7,6,1,3,,,6,6,0,3,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"7,6,1,3-6,6,0,3",true,,0.0,0.0,1,6.614597743619153E-16,,0.28281462,-10.0,5.8,-10.0,3.1031351781516183E-15,,0.0,0.0,0.0,,0.0,-10.0,28.901,11.944065,-10.0,7.7,-10.0,0.0,6.286231048436251E-16,0.0,false
