Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
23,42002,81586.2995,0.0251,-4.0453,3,13.1678,27,4,1,3,,,,3,1,2,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,1,3-3,1,2",true,,0.0,0.0,1,0.012607364357927812,,0.69676554,0.24919643,5.9458675,0.105816655,0.01699045736761786,,0.0,0.0,0.0,,0.0,-1.0,30.153,11.859773,11.289005,9.70008,2.7283905,0.0,0.0025587020255288576,0.0013737535286648592,true
24,42002,87087.2492,2.0206,-5.9061,3,163.2993,129,21,1,20,,,,21,1,21,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"21,1,20-21,1,21",true,,0.0,0.0,1,7.050948315355769E-14,,0.69676554,0.24919643,5.9458675,0.105816655,9.461344147848618E-14,,0.0,0.0,0.0,,0.0,-1.0,28.248,11.859773,11.289005,9.70008,2.7283905,0.0,1.4305785259301848E-14,9.1333293203606E-14,false
25,42002,95367.4362,2.6467,-5.8777,3,177.9829,135,22,1,21,,,,22,1,22,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"22,1,21-22,1,22",true,,0.0,0.0,1,7.686940755265205E-15,,0.69676554,0.24919643,5.9458675,0.105816655,1.0888034525166323E-14,,0.0,0.0,0.0,,0.0,-1.0,25.795,11.859773,11.289005,9.70008,2.7283905,0.0,1.6644082836509864E-15,1.1655271125822502E-14,false
26,42002,100094.51,0.05,-3.7666,3,15.7634,33,5,1,5,,,,4,1,4,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"5,1,5-4,1,4",true,,0.0,0.0,1,0.012616739428831973,0.004109871931626283,0.69676554,0.24919643,5.9458675,0.105816655,0.017002902459325515,0.008464145282621714,0.0,0.0,0.0,,0.0,-1.0,24.577,11.859773,11.289005,9.70008,2.7283905,0.0,0.0026204654379552725,0.00150028087031701,true
27,42002,104020.638,3.4365,-5.8533,3,193.3335,141,23,1,22,,,,23,1,23,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"23,1,22-23,1,23",true,,0.0,0.0,1,,,0.69676554,0.24919643,5.9458675,0.105816655,1.4348105084295602E-15,,0.0,0.0,0.0,,0.0,-1.0,23.65,11.859773,11.289005,9.70008,2.7283905,0.0,1.7493019377973868E-16,1.3580980205310606E-15,false
28,42002,113046.1938,4.4274,-5.8326,3,209.3512,147,24,1,23,,,,24,1,24,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"24,1,23-24,1,24",true,,0.0,0.0,1,,,0.69676554,0.24919643,5.9458675,0.105816655,0.0,,0.0,0.0,0.0,,0.0,-1.0,21.761,11.859773,11.289005,9.70008,2.7283905,0.0,1.6614450740226937E-17,,false
29,60003,78175.7177,0.0108,-7.3591,3,583.6996,166,41,15,26,5,,,40,16,24,5,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"41,15,26,5-40,16,24,5",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.468,12.0016985,-10.0,9.7,-10.0,0.0,1.5705356312349484E-41,0.0,false
30,60003,78176.013,0.03,-7.2689,3,140.3541,26,6,3,3,5,,,6,2,5,4,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"6,3,3,5-6,2,5,4",true,,0.0,0.0,1,1.674235318626095E-13,,0.28281462,-10.0,5.8,-10.0,5.564556646442572E-13,,0.0,0.0,0.0,,0.0,-10.0,31.468,12.0016985,-10.0,9.7,-10.0,0.0,8.342270838577567E-14,0.0,false
31,60003,78179.3895,0.0091,-7.9683,3,342.8731,158,39,6,33,0,,,40,5,36,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"39,6,33,0-40,5,36,0",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.467,12.0016985,-10.0,9.7,-10.0,0.0,3.965089748258515E-27,0.0,false
32,60003,78233.468,0.01,-6.6029,3,476.2525,182,45,10,35,0,,,45,10,36,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"45,10,35,0-45,10,36,0",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.445,12.0016985,-10.0,9.7,-10.0,0.0,4.4603310243458675E-34,0.0,false
